TERC,Gmina,SIMC,Miejscowość,SYM_UL,Ulica,Nr porządkowy,Szerokość geograficzna,Długość geograficzna,gml_id
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,25A,50.33096653583083,19.194488243437508,PL.ZIPIN.4267.EMUiA_3f29669a-54d7-4fc5-811c-7728a904a083
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,25b,50.331062962077205,19.194241217065876,PL.ZIPIN.4267.EMUiA_dfd1ddfa-ab0d-4866-9b33-55c6959e089f
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,25C,50.33108289964045,19.193876213708386,PL.ZIPIN.4267.EMUiA_b0a52b19-ce7c-43bc-b9f3-0c3de1486154
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,29,50.33154601578708,19.194996316589624,PL.ZIPIN.4267.EMUiA_b6b4e2a4-70ac-4d83-838f-0a07f8e45567
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,30,50.32728073736111,19.190112593348903,PL.ZIPIN.4267.EMUiA_f4259aa3-450a-44e8-af85-a911b7680022
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,31,50.33200411780091,19.19529191092878,PL.ZIPIN.4267.EMUiA_318b26c1-7fc6-4d49-8f86-859709e6f75a
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,31A,50.33209900336682,19.1952895549868,PL.ZIPIN.4267.EMUiA_77b26e4f-f333-4f71-832c-1ce587334d89
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,32,50.32733824100015,19.190522891292844,PL.ZIPIN.4267.EMUiA_90cc9ac1-8836-406e-a101-17a20932d488
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,32a,50.32751550288013,19.19064711600035,""
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,33,50.332436424796555,19.195252508124003,PL.ZIPIN.4267.EMUiA_27e0b41c-92ea-414e-905d-1ebdd13d42e9
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,33a,50.33227598585476,19.195197252252257,PL.ZIPIN.4267.EMUiA_decd8807-43c3-4050-b840-e25adf2998b0
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,34a,50.32748787379686,19.19088717363188,PL.ZIPIN.4267.EMUiA_19118c0a-420e-422f-b6e0-f8b0d0ca070a
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,34B,50.32730888763254,19.1907437289996,PL.ZIPIN.4267.EMUiA_a42faf7d-7510-4abf-b9ad-0d6874a29d48
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,35,50.332673693488886,19.19521504896527,PL.ZIPIN.4267.EMUiA_f3ed944f-8f13-4176-9e2a-ae2186f32c3c
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,35A,50.33282313667835,19.195160758729557,PL.ZIPIN.4267.EMUiA_4223cfb5-b236-4c05-90a7-6899cf21126e
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,36,50.32843325835773,19.191909297566085,PL.ZIPIN.4267.EMUiA_5a8b5fb5-8215-4fa4-97aa-8b020823be2a
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,37,50.333018171226485,19.195161557661358,""
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,37A,50.33321158609492,19.195079997541235,PL.ZIPIN.4267.EMUiA_f5651035-7b87-4c8e-b451-6e7bad460a02
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,38,50.32870339338127,19.192184870447786,PL.ZIPIN.4267.EMUiA_205afc87-ad1e-4154-82ad-a8d4054d3614
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,39,50.33336800728054,19.19505593068688,PL.ZIPIN.4267.EMUiA_1fb74735-65cf-4e79-aace-699457c7232a
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,39A,50.33354111907144,19.195031933408412,PL.ZIPIN.4267.EMUiA_a4131695-b8b8-4573-8850-c6fbbf13c31e
